WeekNo,month,day,year,Song,Performer
1,1,4,2020,All I Want For Christmas Is You,Mariah Carey
2,1,11,2020,Circles,Post Malone
3,1,18,2020,The Box,Roddy Ricch
4,1,25,2020,The Box,Roddy Ricch
5,2,1,2020,The Box,Roddy Ricch
6,2,8,2020,The Box,Roddy Ricch
7,2,15,2020,The Box,Roddy Ricch
8,2,22,2020,The Box,Roddy Ricch
9,2,29,2020,The Box,Roddy Ricch
10,3,7,2020,The Box,Roddy Ricch
11,3,14,2020,The Box,Roddy Ricch
12,3,21,2020,The Box,Roddy Ricch
13,3,28,2020,The Box,Roddy Ricch
14,4,4,2020,Blinding Lights,The Weeknd
15,4,11,2020,Blinding Lights,The Weeknd
16,4,18,2020,Toosie Slide,Drake
17,4,25,2020,Blinding Lights,The Weeknd
18,5,2,2020,Blinding Lights,The Weeknd
19,5,9,2020,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
20,5,16,2020,Say So,Doja Cat Featuring Nicki Minaj
21,5,23,2020,Stuck With U,Ariana Grande & Justin Bieber
22,5,30,2020,Savage,Megan Thee Stallion
23,6,6,2020,Rain On Me,Lady Gaga & Ariana Grande
24,6,13,2020,Rockstar,DaBaby Featuring Roddy Ricch
25,6,20,2020,Rockstar,DaBaby Featuring Roddy Ricch
26,6,27,2020,Trollz,6ix9ine & Nicki Minaj
27,7,4,2020,Rockstar,DaBaby Featuring Roddy Ricch
28,7,11,2020,Rockstar,DaBaby Featuring Roddy Ricch
29,7,18,2020,Rockstar,DaBaby Featuring Roddy Ricch
30,7,25,2020,Rockstar,DaBaby Featuring Roddy Ricch
31,8,1,2020,Rockstar,DaBaby Featuring Roddy Ricch
32,8,8,2020,Cardigan,Taylor Swift
33,8,15,2020,Watermelon Sugar,Harry Styles
34,8,22,2020,WAP,Cardi B Featuring Megan Thee Stallion
35,8,29,2020,WAP,Cardi B Featuring Megan Thee Stallion
36,9,5,2020,Dynamite,BTS
37,9,12,2020,Dynamite,BTS
38,9,19,2020,WAP,Cardi B Featuring Megan Thee Stallion
39,9,26,2020,WAP,Cardi B Featuring Megan Thee Stallion
40,10,3,2020,Dynamite,BTS
41,10,10,2020,Franchise,Travis Scott Featuring Young Thug & M.I.A.
42,10,17,2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
43,10,24,2020,Mood,24kGoldn Featuring iann dior
44,10,31,2020,Mood,24kGoldn Featuring iann dior
45,11,7,2020,Positions,Ariana Grande
46,11,14,2020,Mood,24kGoldn Featuring iann dior
47,11,21,2020,Mood,24kGoldn Featuring iann dior
48,11,28,2020,Mood,24kGoldn Featuring iann dior
49,12,5,2020,Life Goes On,BTS
50,12,12,2020,Mood,24kGoldn Featuring iann dior
51,12,19,2020,All I Want For Christmas Is You,Mariah Carey
52,12,26,2020,Willow,Taylor Swift